#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5mm_SINGLE_LAYER"
0.47754 0.91440 -0.03195 
0.47232 0.91440 -0.03223 
0.46710 0.91440 -0.03250 
0.46187 0.91440 -0.03276 
0.45665 0.91440 -0.03302 
0.45143 0.91440 -0.03327 
0.44620 0.91440 -0.03351 
0.44098 0.91440 -0.03374 
0.43575 0.91440 -0.03397 
0.43052 0.91440 -0.03420 
0.42530 0.91440 -0.03441 
0.42007 0.91440 -0.03462 
0.41484 0.91440 -0.03482 
0.40962 0.91440 -0.03502 
0.40439 0.91440 -0.03521 
0.39916 0.91440 -0.03539 
0.39394 0.91440 -0.03556 
0.38871 0.91440 -0.03573 
0.38348 0.91440 -0.03589 
0.37825 0.91440 -0.03605 
0.37302 0.91440 -0.03620 
0.36779 0.91440 -0.03634 
0.36257 0.91440 -0.03647 
0.35734 0.91440 -0.03660 
0.35211 0.91440 -0.03672 
0.34688 0.91440 -0.03683 
0.34165 0.91440 -0.03693 
0.33642 0.91440 -0.03703 
0.33119 0.91440 -0.03712 
0.32596 0.91440 -0.03720 
0.32073 0.91440 -0.03727 
0.31550 0.91440 -0.03733 
0.31027 0.91440 -0.03739 
0.30504 0.91440 -0.03743 
0.29981 0.91440 -0.03747 
0.29458 0.91440 -0.03750 
0.28935 0.91440 -0.03752 
0.28412 0.91440 -0.03753 
0.27889 0.91440 -0.03753 
0.27366 0.91440 -0.03752 
0.26843 0.91440 -0.03750 
0.26320 0.91440 -0.03746 
0.25797 0.91440 -0.03742 
0.25273 0.91440 -0.03736 
0.24750 0.91440 -0.03730 
0.24227 0.91440 -0.03722 
0.23705 0.91440 -0.03712 
0.23182 0.91440 -0.03702 
0.22659 0.91440 -0.03690 
0.22136 0.91440 -0.03677 
0.21613 0.91440 -0.03662 
0.21090 0.91440 -0.03646 
0.20567 0.91440 -0.03628 
0.20045 0.91440 -0.03608 
0.19522 0.91440 -0.03587 
0.19000 0.91440 -0.03564 
0.18477 0.91440 -0.03539 
0.17955 0.91440 -0.03513 
0.17432 0.91440 -0.03484 
0.16910 0.91440 -0.03454 
0.16388 0.91440 -0.03421 
0.15866 0.91440 -0.03386 
0.15345 0.91440 -0.03349 
0.14823 0.91440 -0.03309 
0.14302 0.91440 -0.03267 
0.13781 0.91440 -0.03223 
0.13258 0.91440 -0.03175 
0.12761 0.91440 -0.03127 
0.12288 0.91440 -0.03079 
0.11837 0.91440 -0.03030 
0.11408 0.91440 -0.02982 
0.11000 0.91440 -0.02934 
0.10611 0.91440 -0.02886 
0.10242 0.91440 -0.02838 
0.09890 0.91440 -0.02791 
0.09555 0.91440 -0.02745 
0.09236 0.91440 -0.02699 
0.08933 0.91440 -0.02653 
0.08644 0.91440 -0.02609 
0.08358 0.91440 -0.02563 
0.08072 0.91440 -0.02516 
0.07786 0.91440 -0.02467 
0.07501 0.91440 -0.02417 
0.07216 0.91440 -0.02365 
0.06931 0.91440 -0.02311 
0.06646 0.91440 -0.02255 
0.06362 0.91440 -0.02198 
0.06079 0.91440 -0.02138 
0.05795 0.91440 -0.02076 
0.05513 0.91440 -0.02012 
0.05230 0.91440 -0.01946 
0.04949 0.91440 -0.01877 
0.04668 0.91440 -0.01805 
0.04388 0.91440 -0.01731 
0.04109 0.91440 -0.01654 
0.03830 0.91440 -0.01573 
0.03553 0.91440 -0.01488 
0.03277 0.91440 -0.01400 
0.03002 0.91440 -0.01307 
0.02729 0.91440 -0.01210 
0.02458 0.91440 -0.01108 
0.02189 0.91440 -0.00999 
0.01923 0.91440 -0.00884 
0.01660 0.91440 -0.00761 
0.01402 0.91440 -0.00629 
0.01150 0.91440 -0.00487 
0.00905 0.91440 -0.00332 
0.00672 0.91440 -0.00160 
0.00474 0.91440 0.00013 
0.00318 0.91440 0.00178 
0.00202 0.91440 0.00337 
0.00117 0.91440 0.00490 
0.00063 0.91440 0.00638 
0.00035 0.91440 0.00785 
0.00032 0.91440 0.00930 
0.00055 0.91440 0.01073 
-0.00024 0.91440 0.01198 
-0.00152 0.91440 0.01379 
-0.00154 0.91440 0.01688 
-0.00037 0.91440 0.01996 
0.00173 0.91440 0.02269 
0.00450 0.91440 0.02497 
0.00769 0.91440 0.02675 
0.01086 0.91440 0.02803 
0.01395 0.91440 0.02900 
0.01700 0.91440 0.02977 
0.02001 0.91440 0.03041 
0.02299 0.91440 0.03096 
0.02595 0.91440 0.03144 
0.02894 0.91440 0.03186 
0.03195 0.91440 0.03207 
0.03553 0.91440 0.03227 
0.03878 0.91440 0.03064 
0.04117 0.91440 0.02895 
0.04401 0.91440 0.02918 
0.04687 0.91440 0.02956 
0.04974 0.91440 0.02991 
0.05260 0.91440 0.03023 
0.05547 0.91440 0.03052 
0.05835 0.91440 0.03078 
0.06122 0.91440 0.03103 
0.06410 0.91440 0.03124 
0.06697 0.91440 0.03144 
0.06985 0.91440 0.03162 
0.07273 0.91440 0.03178 
0.07562 0.91440 0.03191 
0.07850 0.91440 0.03203 
0.08138 0.91440 0.03214 
0.08426 0.91440 0.03223 
0.08715 0.91440 0.03230 
0.09003 0.91440 0.03235 
0.09283 0.91440 0.03239 
0.09576 0.91440 0.03242 
0.09885 0.91440 0.03244 
0.10208 0.91440 0.03244 
0.10548 0.91440 0.03242 
0.10905 0.91440 0.03239 
0.11280 0.91440 0.03233 
0.11673 0.91440 0.03225 
0.12086 0.91440 0.03215 
0.12519 0.91440 0.03202 
0.12975 0.91440 0.03185 
0.13452 0.91440 0.03166 
0.13954 0.91440 0.03143 
0.14480 0.91440 0.03116 
0.15006 0.91440 0.03086 
0.15532 0.91440 0.03054 
0.16058 0.91440 0.03019 
0.16583 0.91440 0.02981 
0.17108 0.91440 0.02942 
0.17633 0.91440 0.02900 
0.18158 0.91440 0.02856 
0.18683 0.91440 0.02811 
0.19207 0.91440 0.02763 
0.19732 0.91440 0.02713 
0.20256 0.91440 0.02662 
0.20780 0.91440 0.02609 
0.21304 0.91440 0.02554 
0.21827 0.91440 0.02498 
0.22351 0.91440 0.02440 
0.22874 0.91440 0.02380 
0.23397 0.91440 0.02320 
0.23920 0.91440 0.02257 
0.24443 0.91440 0.02194 
0.24966 0.91440 0.02129 
0.25489 0.91440 0.02063 
0.26011 0.91440 0.01995 
0.26533 0.91440 0.01927 
0.27055 0.91440 0.01857 
0.27577 0.91440 0.01786 
0.28099 0.91440 0.01715 
0.28621 0.91440 0.01642 
0.29142 0.91440 0.01568 
0.29663 0.91440 0.01493 
0.30185 0.91440 0.01417 
0.30706 0.91440 0.01340 
0.31227 0.91440 0.01262 
0.31747 0.91440 0.01184 
0.32268 0.91440 0.01104 
0.32789 0.91440 0.01024 
0.33309 0.91440 0.00943 
0.33829 0.91440 0.00861 
0.34349 0.91440 0.00778 
0.34870 0.91440 0.00695 
0.35389 0.91440 0.00611 
0.35909 0.91440 0.00526 
0.36429 0.91440 0.00440 
0.36948 0.91440 0.00354 
0.37468 0.91440 0.00266 
0.37987 0.91440 0.00179 
0.38506 0.91440 0.00090 
0.39026 0.91440 0.00001 
0.39544 0.91440 -0.00089 
0.40063 0.91440 -0.00180 
0.40582 0.91440 -0.00271 
0.41101 0.91440 -0.00363 
0.41619 0.91440 -0.00456 
0.42138 0.91440 -0.00549 
0.42656 0.91440 -0.00643 
0.43174 0.91440 -0.00738 
0.43692 0.91440 -0.00833 
0.44210 0.91440 -0.00929 
0.44728 0.91440 -0.01026 
0.45245 0.91440 -0.01123 
0.45763 0.91440 -0.01221 
0.46280 0.91440 -0.01320 
0.46797 0.91440 -0.01419 
0.47314 0.91440 -0.01519 
0.47831 0.91440 -0.01620 
0.48348 0.91440 -0.01722 
0.48865 0.91440 -0.01824 
0.49381 0.91440 -0.01927 
0.49898 0.91440 -0.02031 
0.50414 0.91440 -0.02135 
0.50930 0.91440 -0.02240 
0.51446 0.91440 -0.02346 
0.51962 0.91440 -0.02453 
0.52477 0.91440 -0.02561 
0.52859 0.91440 -0.02641 
0.53098 0.91440 -0.02692 
0.53247 0.91440 -0.02724 
0.53246 0.91440 -0.02738 
0.53245 0.91440 -0.02753 
0.53244 0.91440 -0.02768 
0.53243 0.91440 -0.02783 
0.53242 0.91440 -0.02798 

ZONE T="SLICE_Y_0p9144_BINS07_KS_0p5mm_SINGLE_LAYER"
0.53242 0.91440 -0.02798 
0.53241 0.91440 -0.02813 
0.53240 0.91440 -0.02828 
0.53239 0.91440 -0.02843 
0.53238 0.91440 -0.02858 
0.53086 0.91440 -0.02868 
0.52843 0.91440 -0.02885 
0.52453 0.91440 -0.02911 
0.51931 0.91440 -0.02946 
0.51409 0.91440 -0.02980 
0.50887 0.91440 -0.03013 
0.50365 0.91440 -0.03045 
0.49843 0.91440 -0.03077 
0.49321 0.91440 -0.03107 
0.48799 0.91440 -0.03137 
0.48277 0.91440 -0.03166 
0.47754 0.91440 -0.03195 
0.47232 0.91440 -0.03223 
0.46710 0.91440 -0.03250 
0.46187 0.91440 -0.03276 
0.45665 0.91440 -0.03302 
0.45143 0.91440 -0.03327 
0.44620 0.91440 -0.03351 
0.44098 0.91440 -0.03374 
0.43575 0.91440 -0.03397 
0.43052 0.91440 -0.03420 
0.42530 0.91440 -0.03441 
0.42007 0.91440 -0.03462 
0.41484 0.91440 -0.03482 
0.40962 0.91440 -0.03502 
0.40439 0.91440 -0.03521 
0.39916 0.91440 -0.03539 
0.39394 0.91440 -0.03556 
0.38871 0.91440 -0.03573 
0.38348 0.91440 -0.03589 
0.37825 0.91440 -0.03605 
0.37302 0.91440 -0.03620 
0.36779 0.91440 -0.03634 
0.36257 0.91440 -0.03647 
0.35734 0.91440 -0.03660 
0.35211 0.91440 -0.03672 
0.34688 0.91440 -0.03683 
0.34165 0.91440 -0.03693 
0.33642 0.91440 -0.03703 
0.33119 0.91440 -0.03712 
0.32596 0.91440 -0.03720 
0.32073 0.91440 -0.03727 
0.31550 0.91440 -0.03733 
0.31027 0.91440 -0.03739 
0.30504 0.91440 -0.03743 
0.29981 0.91440 -0.03747 
0.29458 0.91440 -0.03750 
0.28935 0.91440 -0.03752 
0.28412 0.91440 -0.03753 
0.27889 0.91440 -0.03753 
0.27366 0.91440 -0.03752 
0.26843 0.91440 -0.03750 
0.26320 0.91440 -0.03746 
0.25797 0.91440 -0.03742 
0.25273 0.91440 -0.03736 
0.24750 0.91440 -0.03730 
0.24227 0.91440 -0.03722 
0.23705 0.91440 -0.03712 
0.23182 0.91440 -0.03702 
0.22659 0.91440 -0.03690 
0.22136 0.91440 -0.03677 
0.21613 0.91440 -0.03662 
0.21090 0.91440 -0.03646 
0.20567 0.91440 -0.03628 
0.20045 0.91440 -0.03608 
0.19522 0.91440 -0.03587 
0.19000 0.91440 -0.03564 
0.18477 0.91440 -0.03539 
0.17955 0.91440 -0.03513 
0.17432 0.91440 -0.03484 
0.16910 0.91440 -0.03454 
0.16388 0.91440 -0.03421 
0.15866 0.91440 -0.03386 
0.15345 0.91440 -0.03349 
0.14823 0.91440 -0.03309 
0.14302 0.91440 -0.03267 
0.13781 0.91440 -0.03223 
0.13258 0.91440 -0.03175 
0.12761 0.91440 -0.03127 
0.12288 0.91440 -0.03079 
0.11837 0.91440 -0.03030 
0.11408 0.91440 -0.02982 
0.11000 0.91440 -0.02934 
0.10611 0.91440 -0.02886 
0.10242 0.91440 -0.02838 
0.09890 0.91440 -0.02791 
0.09555 0.91440 -0.02745 
0.09236 0.91440 -0.02699 
0.08933 0.91440 -0.02653 
0.08644 0.91440 -0.02609 
0.08358 0.91440 -0.02563 
0.08072 0.91440 -0.02516 
0.07786 0.91440 -0.02467 
0.07501 0.91440 -0.02417 
0.07216 0.91440 -0.02365 
0.06931 0.91440 -0.02311 
0.06646 0.91440 -0.02255 
0.06362 0.91440 -0.02198 
0.06079 0.91440 -0.02138 
0.05795 0.91440 -0.02076 
0.05513 0.91440 -0.02012 
0.05230 0.91440 -0.01946 
0.04949 0.91440 -0.01877 
0.04668 0.91440 -0.01805 
0.04388 0.91440 -0.01731 
0.04109 0.91440 -0.01654 
0.03830 0.91440 -0.01573 
0.03553 0.91440 -0.01488 
0.03277 0.91440 -0.01400 
0.03002 0.91440 -0.01307 
0.02729 0.91440 -0.01210 
0.02458 0.91440 -0.01108 
0.02189 0.91440 -0.00999 
0.01923 0.91440 -0.00884 
0.01660 0.91440 -0.00761 
0.01402 0.91440 -0.00629 
0.01150 0.91440 -0.00487 
0.00905 0.91440 -0.00332 
0.00672 0.91440 -0.00160 
0.00474 0.91440 0.00013 
0.00318 0.91440 0.00178 
0.00202 0.91440 0.00337 
0.00117 0.91440 0.00490 
0.00063 0.91440 0.00638 
0.00035 0.91440 0.00785 
0.00032 0.91440 0.00930 
0.00055 0.91440 0.01073 
-0.00024 0.91440 0.01198 
-0.00151 0.91440 0.01379 
-0.00154 0.91440 0.01687 
-0.00038 0.91440 0.01995 
0.00172 0.91440 0.02269 
0.00450 0.91440 0.02498 
0.00769 0.91440 0.02676 
0.01086 0.91440 0.02804 
0.01395 0.91440 0.02901 
0.01700 0.91440 0.02978 
0.02000 0.91440 0.03041 
0.02298 0.91440 0.03097 
0.02595 0.91440 0.03144 
0.02894 0.91440 0.03187 
0.03194 0.91440 0.03210 
0.03544 0.91440 0.03230 
0.03878 0.91440 0.03095 
0.04120 0.91440 0.02925 
0.04401 0.91440 0.02918 
0.04687 0.91440 0.02956 
0.04974 0.91440 0.02991 
0.05260 0.91440 0.03023 
0.05547 0.91440 0.03052 
0.05835 0.91440 0.03078 
0.06122 0.91440 0.03103 
0.06410 0.91440 0.03124 
0.06697 0.91440 0.03144 
0.06985 0.91440 0.03162 
0.07273 0.91440 0.03178 
0.07562 0.91440 0.03191 
0.07850 0.91440 0.03203 
0.08138 0.91440 0.03214 
0.08426 0.91440 0.03223 
0.08715 0.91440 0.03230 
0.09003 0.91440 0.03235 
0.09283 0.91440 0.03239 
0.09576 0.91440 0.03242 
0.09885 0.91440 0.03244 
0.10208 0.91440 0.03244 
0.10548 0.91440 0.03242 
0.10905 0.91440 0.03239 
0.11280 0.91440 0.03233 
0.11673 0.91440 0.03225 
0.12086 0.91440 0.03215 
0.12519 0.91440 0.03202 
0.12975 0.91440 0.03185 
0.13452 0.91440 0.03166 
0.13954 0.91440 0.03143 
0.14480 0.91440 0.03116 
0.15006 0.91440 0.03086 
0.15532 0.91440 0.03054 
0.16058 0.91440 0.03019 
0.16583 0.91440 0.02981 
0.17108 0.91440 0.02942 
0.17633 0.91440 0.02900 
0.18158 0.91440 0.02856 
0.18683 0.91440 0.02811 
0.19207 0.91440 0.02763 
0.19732 0.91440 0.02713 
0.20256 0.91440 0.02662 
0.20780 0.91440 0.02609 
0.21304 0.91440 0.02554 
0.21827 0.91440 0.02498 
0.22351 0.91440 0.02440 
0.22874 0.91440 0.02380 
0.23397 0.91440 0.02320 
0.23920 0.91440 0.02257 
0.24443 0.91440 0.02194 
0.24966 0.91440 0.02129 
0.25489 0.91440 0.02063 
0.26011 0.91440 0.01995 
0.26533 0.91440 0.01927 
0.27055 0.91440 0.01857 
0.27577 0.91440 0.01786 
0.28099 0.91440 0.01715 
0.28621 0.91440 0.01642 
0.29142 0.91440 0.01568 
0.29663 0.91440 0.01493 
0.30185 0.91440 0.01417 
0.30706 0.91440 0.01340 
0.31227 0.91440 0.01262 
0.31747 0.91440 0.01184 
0.32268 0.91440 0.01104 
0.32789 0.91440 0.01024 
