#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 5
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
0.05450 0.10243 -0.00688 
0.05424 0.10249 -0.00630 
0.05397 0.10256 -0.00576 
0.05391 0.10252 -0.00519 
0.05394 0.10244 -0.00457 
0.05367 0.10253 -0.00395 
0.05337 0.10266 -0.00341 
0.05362 0.10247 -0.00292 
0.05375 0.10236 -0.00232 
0.05330 0.10259 -0.00154 
0.05370 0.10235 -0.00079 
0.05490 0.10164 -0.00027 
0.05577 0.10113 -0.00000 
0.05492 0.10163 0.00027 
0.05379 0.10229 0.00078 
0.05325 0.10262 0.00154 
0.05335 0.10259 0.00237 
0.05318 0.10272 0.00299 
0.05264 0.10308 0.00354 
0.05219 0.10338 0.00424 
0.05205 0.10352 0.00503 
0.05184 0.10372 0.00577 
0.05148 0.10400 0.00651 
0.05111 0.10429 0.00733 
0.05082 0.10455 0.00821 
0.05057 0.10480 0.00912 
0.05029 0.10507 0.01004 
0.05002 0.10535 0.01101 
0.04977 0.10563 0.01204 
0.04955 0.10591 0.01312 
0.04935 0.10617 0.01424 
0.04917 0.10645 0.01540 
0.04901 0.10672 0.01661 
0.04887 0.10699 0.01787 
0.04877 0.10726 0.01918 
0.04871 0.10752 0.02054 
0.04870 0.10776 0.02196 
0.04874 0.10800 0.02342 
0.04883 0.10822 0.02493 
0.04899 0.10842 0.02649 
0.04920 0.10861 0.02809 
0.04949 0.10877 0.02974 
0.04986 0.10892 0.03143 
0.05031 0.10903 0.03316 
0.05089 0.10911 0.03491 
0.05158 0.10914 0.03668 
0.05239 0.10912 0.03844 
0.05335 0.10906 0.04019 
0.05441 0.10897 0.04195 
0.05562 0.10882 0.04364 
0.05702 0.10861 0.04525 
0.05917 0.10799 0.04567 
0.06212 0.10695 0.04452 
0.06534 0.10579 0.04261 
0.06875 0.10457 0.03997 
0.07237 0.10326 0.03636 
0.07619 0.10189 0.03168 
0.07987 0.10066 0.02669 
0.08266 0.10000 0.02388 
0.08445 0.10000 0.02441 
0.08637 0.10000 0.02492 
0.08841 0.10000 0.02541 
0.09059 0.10000 0.02590 
0.09291 0.10000 0.02638 
0.09538 0.10000 0.02686 
0.09803 0.10000 0.02733 
0.10084 0.10000 0.02781 
0.10384 0.10000 0.02831 
0.10704 0.10000 0.02882 
0.11045 0.10000 0.02934 
0.11409 0.10000 0.02989 
0.11796 0.10000 0.03045 
0.12209 0.10000 0.03104 
0.12649 0.10000 0.03164 
0.13116 0.10000 0.03225 
0.13614 0.10000 0.03289 
0.14143 0.10000 0.03353 
0.14706 0.10000 0.03419 
0.15304 0.10000 0.03486 
0.15938 0.10000 0.03553 
0.16611 0.10000 0.03622 
0.17325 0.10000 0.03691 
0.18081 0.10000 0.03760 
0.18880 0.10000 0.03829 
0.19725 0.10000 0.03898 
0.20617 0.10000 0.03967 
0.21557 0.10000 0.04035 
0.22547 0.10000 0.04102 
0.23588 0.10000 0.04168 
0.24681 0.10000 0.04232 
0.25827 0.10000 0.04294 
0.27026 0.10000 0.04355 
0.28278 0.10000 0.04413 
0.29584 0.10000 0.04467 
0.30943 0.10000 0.04519 
0.32353 0.10000 0.04566 
0.33814 0.10000 0.04609 
0.35325 0.10000 0.04646 
0.36882 0.10000 0.04676 
0.38484 0.10000 0.04700 
0.40127 0.10000 0.04715 
0.41809 0.10000 0.04722 
0.43525 0.10000 0.04718 
0.45271 0.10000 0.04704 
0.47043 0.10000 0.04679 
0.48837 0.10000 0.04642 
0.50646 0.10000 0.04593 
0.52466 0.10000 0.04532 
0.54291 0.10000 0.04460 
0.56117 0.10000 0.04376 
0.57937 0.10000 0.04283 
0.59746 0.10000 0.04180 
0.61539 0.10000 0.04069 
0.63311 0.10000 0.03952 
0.65058 0.10000 0.03829 
0.66774 0.10000 0.03702 
0.68456 0.10000 0.03573 
0.70099 0.10000 0.03442 
0.71701 0.10000 0.03310 
0.73258 0.10000 0.03179 
0.74768 0.10000 0.03049 
0.76230 0.10000 0.02920 
0.77640 0.10000 0.02793 
0.78998 0.10000 0.02669 
0.80304 0.10000 0.02547 
0.81556 0.10000 0.02428 
0.82755 0.10000 0.02311 
0.83901 0.10000 0.02198 
0.84994 0.10000 0.02088 
0.86035 0.10000 0.01981 
0.87026 0.10000 0.01878 
0.87966 0.10000 0.01777 
0.88858 0.10000 0.01680 
0.89703 0.10000 0.01587 
0.90502 0.10000 0.01497 
0.91258 0.10000 0.01411 
0.91971 0.10000 0.01329 
0.92644 0.10000 0.01250 
0.93279 0.10000 0.01175 
0.93877 0.10000 0.01103 
0.94439 0.10000 0.01035 
0.94969 0.10000 0.00971 
0.95466 0.10000 0.00910 
0.95934 0.10000 0.00853 
0.96374 0.10000 0.00799 
0.96786 0.10000 0.00748 
0.97174 0.10000 0.00700 
0.97537 0.10000 0.00655 
0.97878 0.10000 0.00613 
0.98198 0.10000 0.00573 
0.98499 0.10000 0.00536 
0.98780 0.10000 0.00502 
0.99044 0.10000 0.00469 
0.99292 0.10000 0.00439 
0.99524 0.10000 0.00410 
0.99742 0.10000 0.00384 
0.99946 0.10000 0.00359 
1.00137 0.10000 0.00335 
1.00317 0.10000 0.00313 
1.00485 0.10000 0.00292 
1.00643 0.10000 0.00273 
1.00791 0.10000 0.00255 
1.00930 0.10000 0.00237 
1.01060 0.10000 0.00221 
1.01183 0.10000 0.00206 
1.01297 0.10000 0.00192 
1.01405 0.10000 0.00178 
1.01506 0.10000 0.00166 
1.01601 0.10000 0.00154 
1.01690 0.10000 0.00143 
1.01773 0.10000 0.00132 
1.01852 0.10000 0.00122 
1.01925 0.10000 0.00113 
1.01994 0.10000 0.00104 
1.02059 0.10000 0.00096 
1.02120 0.10000 0.00088 
1.02177 0.10000 0.00081 
1.02230 0.10000 0.00074 
1.02280 0.10000 0.00068 
1.02327 0.10000 0.00062 
1.02371 0.10000 0.00056 
1.02412 0.10000 0.00051 
1.02450 0.10000 0.00046 
1.02486 0.10000 0.00042 
1.02519 0.10000 0.00037 
1.02550 0.10000 0.00033 
1.02579 0.10000 0.00030 
1.02606 0.10000 0.00026 
1.02631 0.10000 0.00023 
1.02654 0.10000 0.00020 
1.02675 0.10000 0.00017 
1.02694 0.10000 0.00015 
1.02712 0.10000 0.00013 
1.02728 0.10000 0.00010 
1.02743 0.10000 0.00009 
1.02756 0.10000 0.00007 
1.02767 0.10000 0.00005 
1.02777 0.10000 0.00004 
1.02786 0.10000 0.00003 
1.02793 0.10000 0.00002 
1.02799 0.10000 0.00001 
1.02803 0.10000 0.00001 
1.02807 0.10000 0.00000 
1.02809 0.10000 0.00000 
1.02809 0.10000 -0.00000 

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_SINGLE_LAYER"
1.21070 0.75000 -0.00000 
1.21069 0.75000 -0.00000 
1.21068 0.75000 -0.00000 
1.21065 0.75000 -0.00001 
1.21062 0.75000 -0.00001 
1.21057 0.75000 -0.00002 
1.21051 0.75000 -0.00002 
1.21044 0.75000 -0.00003 
1.21036 0.75000 -0.00004 
1.21027 0.75000 -0.00006 
1.21016 0.75000 -0.00007 
1.21005 0.75000 -0.00008 
1.20992 0.75000 -0.00010 
1.20978 0.75000 -0.00012 
1.20962 0.75000 -0.00014 
1.20945 0.75000 -0.00016 
1.20927 0.75000 -0.00018 
1.20907 0.75000 -0.00021 
1.20886 0.75000 -0.00024 
1.20862 0.75000 -0.00027 
1.20838 0.75000 -0.00030 
1.20811 0.75000 -0.00033 
1.20782 0.75000 -0.00037 
1.20751 0.75000 -0.00041 
1.20719 0.75000 -0.00045 
1.20683 0.75000 -0.00050 
1.20646 0.75000 -0.00054 
1.20606 0.75000 -0.00059 
1.20563 0.75000 -0.00065 
1.20517 0.75000 -0.00071 
1.20469 0.75000 -0.00077 
1.20417 0.75000 -0.00083 
1.20361 0.75000 -0.00090 
1.20303 0.75000 -0.00098 
1.20240 0.75000 -0.00106 
1.20173 0.75000 -0.00114 
1.20101 0.75000 -0.00123 
1.20025 0.75000 -0.00133 
1.19944 0.75000 -0.00143 
1.19858 0.75000 -0.00154 
1.19766 0.75000 -0.00165 
1.19668 0.75000 -0.00177 
1.19564 0.75000 -0.00190 
1.19452 0.75000 -0.00204 
1.19334 0.75000 -0.00219 
1.19207 0.75000 -0.00234 
1.19072 0.75000 -0.00251 
1.18928 0.75000 -0.00269 
1.18775 0.75000 -0.00287 
1.18611 0.75000 -0.00308 
1.18437 0.75000 -0.00329 
1.18251 0.75000 -0.00352 
1.18052 0.75000 -0.00376 
1.17841 0.75000 -0.00402 
1.17615 0.75000 -0.00430 
1.17374 0.75000 -0.00459 
1.17118 0.75000 -0.00491 
1.16844 0.75000 -0.00525 
1.16553 0.75000 -0.00561 
1.16243 0.75000 -0.00599 
1.15912 0.75000 -0.00640 
1.15560 0.75000 -0.00684 
1.15185 0.75000 -0.00730 
1.14786 0.75000 -0.00778 
1.14362 0.75000 -0.00830 
1.13911 0.75000 -0.00884 
1.13432 0.75000 -0.00942 
1.12923 0.75000 -0.01002 
1.12384 0.75000 -0.01065 
1.11812 0.75000 -0.01131 
1.11206 0.75000 -0.01200 
1.10565 0.75000 -0.01272 
1.09888 0.75000 -0.01347 
1.09174 0.75000 -0.01424 
1.08420 0.75000 -0.01505 
1.07626 0.75000 -0.01588 
1.06792 0.75000 -0.01674 
1.05916 0.75000 -0.01762 
1.04998 0.75000 -0.01853 
1.04037 0.75000 -0.01946 
1.03033 0.75000 -0.02041 
1.01986 0.75000 -0.02139 
1.00898 0.75000 -0.02239 
0.99767 0.75000 -0.02340 
0.98596 0.75000 -0.02443 
0.97386 0.75000 -0.02548 
0.96138 0.75000 -0.02653 
0.94854 0.75000 -0.02759 
0.93537 0.75000 -0.02864 
0.92189 0.75000 -0.02967 
0.90814 0.75000 -0.03069 
0.89414 0.75000 -0.03167 
0.87994 0.75000 -0.03261 
0.86556 0.75000 -0.03350 
0.85106 0.75000 -0.03432 
0.83648 0.75000 -0.03507 
0.82185 0.75000 -0.03574 
0.80722 0.75000 -0.03632 
0.79263 0.75000 -0.03681 
0.77813 0.75000 -0.03720 
0.76376 0.75000 -0.03750 
0.74955 0.75000 -0.03770 
0.73556 0.75000 -0.03782 
0.72180 0.75000 -0.03784 
0.70833 0.75000 -0.03779 
0.69516 0.75000 -0.03767 
0.68232 0.75000 -0.03748 
0.66984 0.75000 -0.03723 
0.65773 0.75000 -0.03694 
0.64602 0.75000 -0.03660 
0.63472 0.75000 -0.03622 
0.62383 0.75000 -0.03580 
0.61337 0.75000 -0.03536 
0.60333 0.75000 -0.03490 
0.59372 0.75000 -0.03442 
0.58454 0.75000 -0.03392 
0.57578 0.75000 -0.03340 
0.56743 0.75000 -0.03287 
0.55950 0.75000 -0.03234 
0.55196 0.75000 -0.03179 
0.54481 0.75000 -0.03124 
0.53804 0.75000 -0.03069 
0.53163 0.75000 -0.03013 
0.52558 0.75000 -0.02958 
0.51986 0.75000 -0.02903 
0.51446 0.75000 -0.02848 
0.50938 0.75000 -0.02794 
0.50459 0.75000 -0.02740 
0.49942 0.75042 -0.03235 
0.49424 0.75101 -0.03920 
0.48967 0.75138 -0.04270 
0.48567 0.75153 -0.04344 
0.48204 0.75159 -0.04313 
0.47863 0.75164 -0.04275 
0.47543 0.75170 -0.04239 
0.47243 0.75175 -0.04206 
0.46959 0.75181 -0.04176 
0.46691 0.75188 -0.04153 
0.46435 0.75196 -0.04135 
0.46190 0.75207 -0.04118 
0.45954 0.75222 -0.04104 
0.45724 0.75239 -0.04091 
0.45502 0.75260 -0.04076 
0.45285 0.75284 -0.04057 
0.45075 0.75311 -0.04033 
0.44872 0.75339 -0.03999 
0.44677 0.75368 -0.03953 
0.44491 0.75397 -0.03894 
0.44316 0.75424 -0.03818 
0.44154 0.75449 -0.03727 
0.44005 0.75470 -0.03620 
0.43870 0.75487 -0.03500 
0.43748 0.75500 -0.03371 
0.43640 0.75509 -0.03237 
0.43544 0.75514 -0.03097 
0.43460 0.75515 -0.02955 
0.43388 0.75512 -0.02813 
0.43326 0.75507 -0.02672 
0.43271 0.75499 -0.02534 
0.43225 0.75489 -0.02399 
0.43186 0.75477 -0.02267 
0.43154 0.75464 -0.02140 
0.43128 0.75448 -0.02017 
0.43107 0.75432 -0.01899 
0.43089 0.75416 -0.01786 
0.43076 0.75399 -0.01678 
0.43065 0.75382 -0.01575 
0.43056 0.75365 -0.01477 
0.43050 0.75348 -0.01383 
0.43045 0.75332 -0.01294 
0.43041 0.75316 -0.01210 
0.43038 0.75301 -0.01130 
0.43036 0.75287 -0.01054 
0.43034 0.75273 -0.00982 
0.43032 0.75261 -0.00913 
0.43027 0.75252 -0.00849 
0.43018 0.75245 -0.00789 
0.43002 0.75244 -0.00735 
0.42981 0.75246 -0.00686 
0.42964 0.75247 -0.00636 
0.42948 0.75248 -0.00585 
0.42926 0.75254 -0.00536 
0.42901 0.75261 -0.00491 
0.42903 0.75254 -0.00441 
0.42912 0.75244 -0.00386 
0.42881 0.75257 -0.00335 
0.42861 0.75264 -0.00289 
0.42893 0.75243 -0.00247 
0.42900 0.75235 -0.00196 
0.42849 0.75263 -0.00130 
0.42866 0.75251 -0.00068 
0.42986 0.75182 -0.00026 
0.43077 0.75129 0.00000 
0.42991 0.75179 0.00026 
0.42860 0.75255 0.00069 
0.42744 0.75323 0.00136 
0.42689 0.75357 0.00222 
0.42668 0.75372 0.00285 
0.42627 0.75399 0.00330 
0.42577 0.75432 0.00395 
0.42540 0.75458 0.00477 
0.42502 0.75485 0.00553 
0.42457 0.75517 0.00624 
0.42418 0.75547 0.00702 
0.42384 0.75574 0.00789 
0.42350 0.75602 0.00880 
0.42312 0.75632 0.00973 
0.42276 0.75663 0.01069 
0.42244 0.75692 0.01170 
0.42216 0.75720 0.01277 
0.42189 0.75748 0.01388 
0.42163 0.75777 0.01504 
0.42139 0.75805 0.01624 
0.42119 0.75833 0.01749 
0.42102 0.75859 0.01879 
0.42089 0.75885 0.02013 
0.42080 0.75909 0.02153 
0.42076 0.75932 0.02298 
0.42078 0.75953 0.02448 
0.42085 0.75972 0.02602 
0.42099 0.75990 0.02760 
0.42119 0.76004 0.02923 
0.42147 0.76017 0.03089 
0.42184 0.76026 0.03259 
0.42232 0.76031 0.03431 
0.42291 0.76032 0.03605 
0.42362 0.76028 0.03779 
0.42446 0.76019 0.03951 
0.42541 0.76006 0.04122 
0.42649 0.75988 0.04290 
0.42775 0.75963 0.04448 
0.42920 0.75929 0.04590 
0.43085 0.75888 0.04712 
0.43269 0.75839 0.04809 
0.43487 0.75774 0.04838 
0.43745 0.75690 0.04768 
0.44025 0.75596 0.04624 
0.44317 0.75500 0.04418 
0.44621 0.75402 0.04136 
0.44942 0.75297 0.03746 
0.45295 0.75179 0.03171 
0.45649 0.75065 0.02502 
0.45933 0.75000 0.02076 
0.46119 0.75000 0.02114 
0.46317 0.75000 0.02152 
0.46529 0.75000 0.02191 
0.46754 0.75000 0.02229 
0.46995 0.75000 0.02269 
0.47252 0.75000 0.02310 
0.47525 0.75000 0.02352 
0.47816 0.75000 0.02395 
0.48127 0.75000 0.02441 
0.48458 0.75000 0.02488 
0.48810 0.75000 0.02536 
0.49185 0.75000 0.02585 
0.49584 0.75000 0.02636 
0.50008 0.75000 0.02687 
0.50459 0.75000 0.02740 
0.50938 0.75000 0.02794 
0.51446 0.75000 0.02848 
0.51986 0.75000 0.02903 
0.52558 0.75000 0.02958 
0.53163 0.75000 0.03013 
0.53804 0.75000 0.03069 
0.54481 0.75000 0.03124 
0.55196 0.75000 0.03179 
0.55950 0.75000 0.03234 
0.56743 0.75000 0.03287 
0.57578 0.75000 0.03340 
0.58454 0.75000 0.03392 
0.59372 0.75000 0.03442 
0.60333 0.75000 0.03490 
0.61337 0.75000 0.03536 
0.62383 0.75000 0.03580 
0.63472 0.75000 0.03622 
0.64602 0.75000 0.03660 
0.65773 0.75000 0.03694 
0.66984 0.75000 0.03723 
0.68232 0.75000 0.03748 
0.69516 0.75000 0.03767 
0.70833 0.75000 0.03779 
0.72180 0.75000 0.03784 
0.73556 0.75000 0.03782 
0.74955 0.75000 0.03770 
0.76376 0.75000 0.03750 
0.77813 0.75000 0.03720 
0.79263 0.75000 0.03681 
0.80722 0.75000 0.03632 
0.82185 0.75000 0.03574 
0.83648 0.75000 0.03507 
0.85106 0.75000 0.03432 
0.86556 0.75000 0.03350 
0.87994 0.75000 0.03261 
0.89414 0.75000 0.03167 
0.90814 0.75000 0.03069 
0.92189 0.75000 0.02967 
0.93537 0.75000 0.02864 
0.94854 0.75000 0.02759 
0.96138 0.75000 0.02653 
0.97386 0.75000 0.02548 
0.98596 0.75000 0.02443 
0.99767 0.75000 0.02340 
1.00898 0.75000 0.02239 
1.01986 0.75000 0.02139 
1.03033 0.75000 0.02041 
1.04037 0.75000 0.01946 
1.04998 0.75000 0.01853 
1.05916 0.75000 0.01762 
1.06792 0.75000 0.01674 
1.07626 0.75000 0.01588 
1.08420 0.75000 0.01505 
1.09174 0.75000 0.01424 
1.09888 0.75000 0.01347 
1.10565 0.75000 0.01272 
1.11206 0.75000 0.01200 
1.11812 0.75000 0.01131 
1.12384 0.75000 0.01065 
1.12923 0.75000 0.01002 
1.13432 0.75000 0.00942 
1.13911 0.75000 0.00884 
1.14362 0.75000 0.00830 
1.14786 0.75000 0.00778 
1.15185 0.75000 0.00730 
1.15560 0.75000 0.00684 
1.15912 0.75000 0.00640 
1.16243 0.75000 0.00599 
1.16553 0.75000 0.00561 
1.16844 0.75000 0.00525 
1.17118 0.75000 0.00491 
1.17374 0.75000 0.00459 
1.17615 0.75000 0.00430 
1.17841 0.75000 0.00402 
1.18052 0.75000 0.00376 
1.18251 0.75000 0.00352 
1.18437 0.75000 0.00329 
1.18611 0.75000 0.00308 
1.18775 0.75000 0.00287 
1.18928 0.75000 0.00269 
1.19072 0.75000 0.00251 
1.19207 0.75000 0.00234 
1.19334 0.75000 0.00219 
1.19452 0.75000 0.00204 
1.19564 0.75000 0.00190 
1.19668 0.75000 0.00177 
1.19766 0.75000 0.00165 
1.19858 0.75000 0.00154 
1.19944 0.75000 0.00143 
1.20025 0.75000 0.00133 
1.20101 0.75000 0.00123 
1.20173 0.75000 0.00114 
1.20240 0.75000 0.00106 
1.20303 0.75000 0.00098 
1.20361 0.75000 0.00090 
1.20417 0.75000 0.00083 
1.20469 0.75000 0.00077 
1.20517 0.75000 0.00071 
1.20563 0.75000 0.00065 
1.20606 0.75000 0.00059 
1.20646 0.75000 0.00054 
1.20683 0.75000 0.00050 
1.20719 0.75000 0.00045 
1.20751 0.75000 0.00041 
1.20782 0.75000 0.00037 
1.20811 0.75000 0.00033 
1.20838 0.75000 0.00030 
1.20862 0.75000 0.00027 
1.20886 0.75000 0.00024 
1.20907 0.75000 0.00021 
1.20927 0.75000 0.00018 
1.20945 0.75000 0.00016 
1.20962 0.75000 0.00014 
1.20978 0.75000 0.00012 
1.20992 0.75000 0.00010 
1.21005 0.75000 0.00008 
1.21016 0.75000 0.00007 
